lat,lon,individual,date
-16.9114275,-57.4808364,Anderson,"2015-01-03 05:00:30"
-16.9825689,-57.3823233,Alice,"2015-01-03 05:01:04"
-16.94598,-57.3892867,Picole,"2015-01-03 05:01:13"
-16.86474,-57.3934881,Caiman,"2015-01-03 06:00:08"
-16.8748358,-57.4384467,Dale,"2015-01-03 06:00:15"
-16.8948261,-57.4059203,Fera,"2015-01-03 06:00:16"
-16.9112086,-57.4810311,Anderson,"2015-01-03 06:00:28"
-16.9399183,-57.3893408,Picole,"2015-01-03 06:01:14"
-16.9826019,-57.382315,Alice,"2015-01-03 06:01:23"
-16.8948678,-57.4059939,Fera,"2015-01-03 07:00:10"
-16.9113306,-57.4808825,Anderson,"2015-01-03 07:00:11"
-16.8646811,-57.3934825,Caiman,"2015-01-03 07:00:14"
-16.9825708,-57.3823653,Alice,"2015-01-03 07:00:23"
-16.8748119,-57.4384417,Dale,"2015-01-03 07:00:48"
-16.9360475,-57.3888672,Picole,"2015-01-03 07:01:13"
-16.8748539,-57.4384814,Dale,"2015-01-03 08:00:03"
-16.9346908,-57.3899756,Picole,"2015-01-03 08:00:10"
-16.8646286,-57.3935161,Caiman,"2015-01-03 08:00:27"
-16.9113844,-57.4808025,Anderson,"2015-01-03 08:00:30"
-16.9826219,-57.3823036,Alice,"2015-01-03 08:00:30"
-16.8948447,-57.4061661,Fera,"2015-01-03 08:00:54"
-16.8748414,-57.4384372,Dale,"2015-01-03 09:00:03"
-16.9826469,-57.3824253,Alice,"2015-01-03 09:00:19"
-16.9348281,-57.3901786,Picole,"2015-01-03 09:00:29"
-16.894885,-57.4060686,Fera,"2015-01-03 09:00:36"
-16.8646514,-57.3935678,Caiman,"2015-01-03 09:00:48"
-16.9113308,-57.48057,Anderson,"2015-01-03 09:00:53"
-16.9112578,-57.4817292,Anderson,"2015-01-03 10:00:11"
-16.8647656,-57.3934403,Caiman,"2015-01-03 10:00:13"
-16.9827039,-57.3822864,Alice,"2015-01-03 10:00:16"
-16.9347986,-57.3915489,Picole,"2015-01-03 10:00:18"
-16.8948494,-57.4060272,Fera,"2015-01-03 10:00:29"
-16.8748961,-57.4383919,Dale,"2015-01-03 10:00:30"
-16.9826822,-57.3823375,Alice,"2015-01-03 11:00:08"
-16.9076894,-57.4845911,Anderson,"2015-01-03 11:00:13"
-16.8947864,-57.4060456,Fera,"2015-01-03 11:00:17"
-16.8748619,-57.4384128,Dale,"2015-01-03 11:00:19"
-16.9305256,-57.3945175,Picole,"2015-01-03 11:00:30"
-16.8646372,-57.3935636,Caiman,"2015-01-03 11:00:30"
-16.8647103,-57.393655,Caiman,"2015-01-03 12:00:13"
-16.9232189,-57.3934158,Picole,"2015-01-03 12:00:20"
-16.8948494,-57.4061156,Fera,"2015-01-03 12:00:30"
-16.9077578,-57.4844822,Anderson,"2015-01-03 12:00:30"
